,0
584,3
585,1
586,6
587,6
588,5
589,3
590,2
591,1
592,4
593,2
594,6
595,6
596,0
597,6
598,2
599,6
600,3
601,1
602,5
603,0
604,6
605,4
606,4
607,2
608,3
609,4
610,3
611,5
612,5
613,3
614,6
615,1
616,1
617,4
618,6
619,6
620,6
621,5
622,6
623,4
624,1
625,3
626,2
627,5
628,1
629,5
630,2
631,4
632,4
633,4
634,2
635,5
636,2
637,6
638,2
639,3
640,6
641,2
642,6
643,0
644,4
645,1
646,3
647,6
648,1
649,2
650,6
651,4
652,2
653,3
654,5
655,4
656,1
657,5
658,4
659,1
660,0
661,2
662,3
663,4
664,0
665,3
666,0
667,3
668,4
669,2
670,0
671,6
672,4
673,0
674,6
675,4
676,2
677,5
678,2
679,5
680,2
681,2
682,5
683,2
684,6
685,2
686,6
687,3
688,1
689,5
690,4
691,4
692,5
693,4
694,2
695,0
696,2
697,0
698,5
699,3
700,3
701,6
702,5
703,6
704,6
705,0
706,3
707,2
708,4
709,2
710,1
711,2
712,3
713,1
714,3
715,0
716,3
717,2
718,5
719,6
720,6
721,1
722,4
723,1
724,1
725,0
726,6
727,2
728,6
729,6
730,4
731,6
732,4
733,5
734,2
735,5
736,0
737,1
738,0
739,2
740,0
741,2
742,2
743,5
744,5
745,6
746,6
747,6
748,6
749,3
750,3
751,1
752,0
753,5
754,5
755,6
756,6
757,4
758,4
759,4
760,6
761,5
762,0
763,0
764,3
765,6
766,4
767,3
768,3
769,6
770,3
771,4
772,1
773,1
774,6
775,1
776,3
777,6
778,1
779,3
780,2
781,0
782,2
783,3
784,2
785,5
786,1
787,2
788,4
789,1
790,2
791,2
792,1
793,6
794,6
795,4
796,3
797,4
798,6
799,2
800,2
801,5
802,4
803,6
804,6
805,6
806,1
807,1
808,5
809,1
810,2
811,0
812,3
813,3
814,3
815,6
816,3
817,4
818,1
819,2
820,5
821,2
822,2
823,0
824,6
825,6
826,3
827,4
828,2
829,1
830,5
831,3
832,5
833,5
834,0
835,6
836,4
837,1
838,0
839,4
840,6
841,4
842,1
843,3
844,5
845,1
846,5
847,0
848,6
849,4
850,6
851,6
852,2
853,3
854,6
855,1
856,2
857,3
858,1
859,1
860,6
861,4
862,0
863,3
864,1
865,2
866,2
867,1
868,1
869,2
870,3
871,4
872,0
873,0
874,4
875,6
876,3
877,2
878,3
879,6
880,2
881,5
882,2
883,0
884,6
885,3
886,0
887,4
888,0
889,0
890,3
891,0
892,3
893,6
894,1
895,6
896,2
897,5
898,6
899,1
900,0
901,4
902,4
903,6
904,5
905,5
906,1
907,3
908,6
909,2
910,6
911,5
912,2
913,6
914,4
915,3
916,4
917,3
918,1
919,2
920,0
921,1
922,3
923,4
924,0
925,0
926,2
927,3
928,5
929,5
930,6
931,5
932,6
933,0
934,6
935,3
936,6
937,2
938,0
939,6
940,3
941,6
942,4
943,1
944,2
945,5
946,2
947,4
948,3
949,6
950,0
951,4
952,6
953,2
954,6
955,6
956,1
957,3
958,2
959,2
960,6
961,6
962,5
963,2
964,5
965,3
966,1
967,4
968,6
969,5
970,4
971,5
972,5
973,5
974,2
975,6
976,0
977,5
978,6
979,3
980,6
981,0
982,3
983,4
984,3
985,6
986,5
987,1
988,2
989,5
990,2
991,0
992,2
993,2
994,4
995,2
996,1
997,1
998,2
999,5
1000,3
1001,2
1002,1
1003,6
1004,2
1005,4
1006,2
1007,5
1008,5
1009,5
1010,3
1011,2
1012,5
1013,4
1014,6
1015,6
1016,0
1017,5
1018,3
1019,3
1020,5
1021,0
1022,4
1023,3
1024,6
1025,4
1026,6
1027,0
1028,6
1029,2
1030,5
1031,4
1032,5
1033,0
1034,6
1035,2
1036,6
1037,6
1038,6
1039,2
1040,0
1041,0
1042,4
1043,4
1044,0
1045,4
1046,5
1047,4
1048,4
1049,6
1050,3
1051,5
1052,6
1053,6
1054,5
1055,2
1056,1
1057,5
1058,2
1059,6
1060,2
1061,5
1062,2
1063,2
1064,6
1065,6
1066,2
1067,2
1068,2
1069,5
1070,5
1071,1
1072,1
1073,1
1074,6
1075,1
1076,1
1077,2
1078,1
1079,4
1080,4
1081,4
1082,4
1083,3
1084,2
1085,2
1086,6
1087,0
1088,6
1089,0
1090,3
1091,2
1092,2
1093,4
1094,2
1095,2
1096,6
1097,4
1098,3
1099,5
1100,2
1101,3
1102,4
1103,6
1104,6
1105,2
1106,3
1107,5
1108,6
1109,4
1110,5
1111,2
1112,0
1113,1
1114,6
1115,5
1116,4
1117,1
1118,6
1119,4
1120,6
1121,5
1122,5
1123,6
1124,6
1125,3
1126,6
1127,4
1128,4
1129,2
1130,1
1131,0
1132,2
1133,1
1134,4
1135,4
1136,6
1137,4
1138,4
1139,5
1140,2
1141,1
1142,6
1143,6
1144,4
1145,4
1146,2
1147,2
1148,5
1149,4
1150,3
1151,2
1152,2
1153,2
1154,0
1155,0
1156,6
1157,2
1158,3
1159,5
1160,6
1161,4
1162,5
1163,2
1164,4
1165,5
1166,5
1167,2
1168,2
1169,2
1170,2
1171,3
1172,4
1173,2
1174,4
1175,2
1176,5
1177,6
1178,5
1179,2
1180,2
1181,6
1182,4
1183,0
1184,0
1185,5
1186,2
1187,5
1188,0
1189,6
1190,2
1191,0
1192,3
1193,4
1194,2
1195,4
1196,6
1197,2
1198,3
1199,6
1200,5
1201,4
1202,3
1203,6
1204,3
1205,1
1206,2
1207,1
1208,6
1209,4
1210,1
1211,5
1212,2
1213,1
1214,6
1215,5
1216,5
1217,5
1218,6
1219,4
1220,0
1221,6
1222,2
1223,2
1224,5
1225,2
1226,4
1227,2
1228,1
1229,4
1230,3
1231,3
1232,2
1233,6
1234,1
1235,6
1236,6
1237,5
1238,2
1239,1
1240,2
1241,4
1242,3
1243,2
1244,2
1245,5
1246,5
1247,3
1248,6
1249,2
1250,2
1251,2
1252,4
1253,3
1254,1
1255,2
1256,6
1257,6
1258,6
1259,6
1260,5
1261,4
1262,2
1263,3
1264,5
1265,5
1266,6
1267,1
1268,3
1269,1
1270,2
1271,5
1272,3
1273,0
1274,2
1275,1
1276,4
1277,4
1278,0
1279,2
1280,0
1281,3
1282,5
1283,0
1284,4
1285,1
1286,4
1287,5
1288,3
1289,5
1290,6
1291,4
1292,2
1293,1
1294,3
1295,3
1296,2
1297,3
1298,6
1299,2
1300,2
1301,6
1302,1
1303,3
1304,4
1305,0
1306,5
1307,5
1308,3
1309,5
1310,2
1311,3
1312,6
1313,1
1314,6
1315,4
1316,5
1317,3
1318,0
1319,0
1320,0
1321,5
1322,1
1323,4
1324,4
1325,2
1326,6
1327,1
1328,1
1329,1
1330,5
1331,2
1332,4
1333,3
1334,2
1335,2
1336,3
1337,3
1338,2
1339,6
1340,6
1341,2
1342,5
1343,6
1344,4
1345,6
1346,2
1347,2
1348,4
1349,3
1350,1
1351,2
1352,6
1353,0
1354,5
1355,2
1356,2
1357,2
1358,5
1359,0
1360,4
1361,4
1362,0
1363,0
1364,1
1365,1
1366,4
1367,1
1368,0
1369,6
1370,0
1371,1
1372,0
1373,5
1374,2
1375,2
1376,2
1377,2
1378,0
1379,6
1380,6
1381,1
1382,5
1383,2
1384,6
1385,2
1386,2
1387,0
1388,1
1389,5
1390,0
1391,5
1392,2
1393,3
1394,5
1395,3
1396,0
1397,4
1398,3
1399,5
1400,6
1401,5
1402,2
1403,2
1404,4
1405,2
1406,5
1407,0
1408,4
1409,2
1410,2
1411,3
1412,6
1413,4
1414,6
1415,2
1416,4
1417,0
1418,2
1419,0
1420,4
1421,4
1422,5
1423,1
1424,6
1425,4
1426,2
1427,3
1428,6
1429,0
1430,5
1431,3
1432,6
1433,5
1434,2
1435,4
1436,4
1437,2
1438,5
1439,2
1440,3
1441,3
1442,3
1443,5
1444,1
1445,4
1446,1
1447,1
1448,3
1449,5
1450,1
1451,3
1452,2
1453,2
1454,2
1455,6
1456,6
1457,6
1458,6
1459,2
1460,5
1461,6
1462,2
1463,2
1464,0
1465,1
1466,6
1467,3
1468,3
1469,4
1470,5
1471,3
1472,4
1473,6
1474,4
1475,3
1476,2
1477,4
1478,4
1479,2
1480,6
1481,5
1482,3
1483,1
1484,6
1485,0
1486,3
1487,2
1488,0
1489,4
1490,4
1491,1
1492,4
1493,5
1494,2
1495,5
1496,4
1497,0
1498,2
1499,6
1500,2
1501,4
1502,1
1503,1
1504,0
1505,1
1506,2
1507,2
1508,6
1509,4
1510,2
1511,2
1512,2
1513,3
1514,3
1515,3
1516,1
1517,6
1518,4
1519,3
1520,3
1521,4
1522,2
1523,5
1524,2
1525,3
1526,6
1527,3
1528,2
1529,3
1530,2
1531,1
1532,6
1533,3
1534,0
1535,3
1536,3
1537,3
1538,6
1539,4
1540,2
1541,4
1542,4
1543,5
1544,2
1545,6
1546,1
1547,1
1548,5
1549,6
1550,6
1551,6
1552,2
1553,3
1554,2
1555,6
1556,0
1557,4
1558,2
1559,2
1560,2
1561,5
1562,6
1563,2
1564,4
1565,3
1566,4
1567,3
1568,5
1569,2
1570,4
1571,1
1572,2
1573,1
1574,3
1575,1
1576,4
1577,5
1578,0
1579,6
1580,6
1581,2
1582,1
1583,4
1584,0
1585,1
1586,4
1587,5
1588,5
1589,4
1590,6
1591,3
1592,0
1593,5
1594,5
1595,2
1596,2
1597,6
1598,2
1599,3
1600,2
1601,6
1602,6
1603,2
1604,5
1605,1
1606,6
1607,5
1608,2
1609,2
1610,2
1611,0
1612,0
1613,2
1614,1
1615,0
1616,3
1617,6
1618,1
1619,1
1620,1
1621,0
1622,2
1623,6
1624,6
1625,3
1626,3
1627,2
1628,2
1629,2
1630,4
1631,6
1632,6
1633,4
1634,4
1635,3
1636,2
1637,0
1638,2
1639,2
1640,0
1641,6
1642,0
1643,4
1644,5
1645,5
1646,6
1647,6
1648,5
1649,3
1650,0
1651,5
1652,2
1653,2
1654,5
1655,2
1656,0
1657,1
1658,5
1659,6
1660,4
1661,4
1662,5
1663,3
1664,6
1665,2
1666,3
1667,4
1668,1
1669,4
1670,1
1671,4
1672,0
1673,0
1674,5
1675,3
1676,2
1677,2
1678,0
1679,3
1680,0
1681,2
1682,1
1683,4
1684,3
1685,2
1686,2
1687,2
1688,6
1689,4
1690,5
1691,6
1692,5
1693,1
1694,2
1695,3
1696,5
1697,2
1698,2
1699,5
1700,4
1701,0
1702,6
1703,2
1704,0
1705,0
1706,5
1707,5
1708,0
1709,6
1710,3
1711,1
1712,1
1713,3
1714,6
1715,5
1716,5
1717,3
1718,2
1719,6
1720,3
1721,5
1722,2
1723,0
1724,1
1725,6
1726,6
1727,6
1728,3
1729,2
1730,1
1731,2
1732,0
1733,2
1734,2
1735,6
1736,5
1737,2
1738,0
1739,2
1740,0
1741,1
1742,0
1743,0
1744,1
1745,6
1746,0
1747,6
1748,3
1749,0
1750,2
1751,4
1752,1
1753,0
1754,6
1755,2
1756,5
1757,5
1758,3
1759,2
1760,2
1761,0
1762,2
1763,2
1764,6
1765,2
1766,3
1767,2
1768,6
1769,2
1770,2
1771,5
1772,5
1773,5
1774,4
1775,0
1776,2
1777,5
1778,6
1779,3
1780,1
1781,4
1782,2
1783,6
1784,2
1785,1
1786,6
1787,4
1788,2
1789,2
1790,6
1791,3
1792,2
1793,6
1794,5
1795,6
1796,6
1797,5
1798,1
1799,5
1800,4
1801,2
1802,6
1803,5
1804,6
1805,4
1806,2
1807,4
1808,4
1809,3
1810,4
1811,6
1812,4
1813,3
1814,6
1815,5
1816,4
1817,1
1818,0
1819,6
1820,2
1821,3
1822,6
1823,4
1824,4
1825,5
1826,6
1827,6
1828,3
1829,4
1830,3
1831,2
1832,5
1833,6
1834,2
1835,0
1836,3
1837,1
1838,6
1839,2
1840,2
1841,4
1842,4
1843,4
1844,4
1845,3
1846,2
1847,1
1848,0
1849,3
1850,2
1851,6
1852,4
1853,3
1854,5
1855,5
1856,2
1857,1
1858,3
1859,3
1860,5
1861,0
1862,2
1863,3
1864,5
1865,3
1866,3
1867,2
1868,1
1869,1
1870,4
1871,1
1872,5
1873,4
1874,2
1875,2
1876,4
1877,2
1878,1
1879,0
1880,5
1881,5
1882,3
1883,0
1884,4
1885,2
1886,2
1887,3
1888,3
1889,6
1890,2
1891,3
1892,6
1893,3
1894,6
1895,6
1896,4
1897,6
1898,3
1899,6
1900,1
1901,5
1902,2
1903,5
1904,3
1905,6
1906,6
1907,4
1908,0
1909,2
1910,6
1911,2
1912,2
1913,5
1914,2
1915,0
1916,3
1917,6
1918,4
1919,1
1920,6
1921,5
1922,2
1923,6
1924,6
1925,3
1926,1
1927,6
1928,5
1929,6
1930,5
1931,6
1932,6
1933,2
1934,2
1935,0
1936,2
1937,2
1938,1
1939,5
1940,3
1941,0
1942,0
1943,2
1944,6
1945,6
1946,6
1947,0
1948,2
1949,3
1950,4
1951,2
1952,3
1953,5
1954,6
1955,5
1956,1
1957,4
1958,4
1959,5
1960,0
1961,2
1962,5
1963,4
1964,2
1965,6
1966,4
1967,3
1968,4
1969,5
1970,6
1971,2
1972,6
1973,1
1974,1
1975,3
1976,1
1977,3
1978,2
1979,2
1980,5
1981,6
1982,5
1983,2
1984,2
1985,2
1986,1
1987,1
1988,0
1989,1
1990,6
1991,5
1992,5
1993,4
1994,0
1995,0
1996,3
1997,5
1998,4
1999,3
2000,2
2001,5
2002,3
2003,3
2004,4
2005,2
2006,2
2007,6
2008,0
2009,6
2010,5
2011,6
2012,5
2013,4
2014,0
2015,6
2016,5
2017,4
2018,0
2019,5
2020,2
2021,2
2022,6
2023,2
2024,1
2025,4
2026,2
2027,4
2028,2
2029,2
2030,4
2031,1
2032,4
2033,1
2034,6
2035,6
2036,6
2037,6
2038,6
2039,2
2040,6
2041,2
2042,3
2043,1
2044,0
2045,6
2046,2
2047,1
2048,6
2049,6
2050,4
2051,2
2052,0
2053,5
2054,0
2055,2
2056,4
2057,0
2058,6
2059,4
2060,3
2061,1
2062,1
2063,6
2064,4
2065,1
2066,4
2067,1
2068,3
2069,0
2070,5
2071,2
2072,5
2073,3
2074,4
2075,0
2076,3
2077,6
2078,4
2079,5
2080,6
2081,2
2082,1
2083,5
2084,2
2085,6
2086,6
2087,0
2088,5
2089,3
2090,0
2091,0
2092,5
2093,2
2094,6
2095,2
2096,2
2097,2
2098,4
2099,1
2100,5
2101,3
2102,4
2103,4
2104,3
2105,2
2106,6
2107,5
2108,2
2109,4
2110,6
2111,3
2112,2
2113,5
2114,6
2115,0
2116,3
2117,5
2118,1
2119,2
2120,6
2121,6
2122,4
2123,0
2124,6
2125,2
2126,2
2127,2
2128,0
2129,4
2130,6
2131,2
2132,3
2133,1
2134,2
2135,3
2136,3
2137,3
2138,2
2139,2
2140,0
2141,1
2142,2
2143,4
2144,5
2145,0
2146,6
2147,0
2148,5
2149,6
2150,5
2151,2
2152,5
2153,3
2154,0
2155,3
2156,6
2157,1
2158,3
2159,4
2160,5
2161,3
2162,4
2163,1
2164,0
2165,5
2166,5
2167,0
2168,5
2169,5
2170,5
2171,3
2172,4
2173,2
2174,2
2175,0
2176,5
2177,5
2178,5
2179,5
2180,2
2181,2
2182,3
2183,3
2184,2
2185,2
2186,6
2187,2
2188,2
2189,1
2190,2
2191,4
2192,5
2193,4
2194,3
2195,2
2196,3
2197,2
2198,6
2199,0
2200,2
2201,5
2202,4
2203,6
2204,1
2205,0
2206,4
2207,6
2208,4
2209,6
2210,3
2211,4
2212,5
2213,1
2214,6
2215,0
2216,1
2217,3
2218,2
2219,4
2220,6
2221,6
2222,6
2223,5
2224,1
2225,1
2226,6
2227,4
2228,2
2229,6
2230,4
2231,4
2232,6
2233,6
2234,4
2235,2
2236,6
2237,3
2238,2
2239,0
2240,6
2241,1
2242,0
2243,2
2244,6
2245,6
2246,1
2247,6
2248,6
2249,2
2250,3
2251,5
2252,5
2253,6
2254,1
2255,5
2256,5
2257,4
2258,2
2259,6
2260,4
2261,1
2262,6
2263,2
2264,2
2265,2
2266,2
2267,6
2268,4
2269,2
2270,2
2271,1
2272,5
2273,3
2274,0
2275,0
2276,5
2277,0
2278,3
2279,6
2280,0
2281,6
2282,3
2283,1
2284,0
2285,4
2286,2
2287,1
2288,6
2289,5
2290,0
2291,1
2292,3
2293,6
2294,6
2295,2
2296,3
2297,0
2298,0
2299,5
2300,1
2301,5
2302,2
2303,3
2304,0
2305,5
2306,4
2307,1
2308,0
2309,5
2310,6
2311,5
2312,2
2313,2
2314,4
2315,4
2316,2
2317,6
2318,4
2319,3
2320,1
2321,2
2322,5
2323,2
2324,2
2325,4
2326,5
2327,1
2328,3
2329,3
2330,5
2331,0
2332,2
2333,2
2334,6
2335,2
2336,0
2337,6
2338,6
2339,2
2340,2
2341,0
2342,0
2343,1
2344,6
2345,5
2346,2
2347,6
2348,2
2349,6
2350,3
2351,1
2352,6
2353,5
2354,4
2355,5
2356,4
2357,2
2358,2
2359,2
2360,6
2361,1
2362,2
2363,6
2364,2
2365,4
2366,2
2367,4
2368,6
2369,5
2370,1
2371,6
2372,4
2373,2
2374,3
2375,5
2376,6
2377,0
2378,1
2379,3
2380,5
2381,5
2382,6
2383,4
2384,3
2385,1
2386,3
2387,4
2388,5
2389,6
2390,3
2391,2
2392,0
2393,5
2394,4
2395,4
2396,1
2397,3
2398,4
2399,2
2400,5
2401,6
2402,6
2403,2
2404,6
2405,2
2406,6
2407,3
2408,6
2409,6
2410,6
2411,1
2412,3
2413,1
2414,5
2415,4
2416,2
2417,2
2418,1
2419,4
2420,2
2421,2
2422,2
2423,6
2424,0
2425,2
2426,4
2427,3
2428,5
2429,6
2430,1
2431,0
2432,1
2433,5
2434,6
2435,3
2436,4
2437,2
2438,3
2439,1
2440,2
2441,6
2442,6
2443,2
2444,4
2445,5
2446,6
2447,5
2448,5
2449,3
2450,3
2451,2
2452,5
2453,5
2454,6
2455,6
2456,4
2457,0
2458,6
2459,1
2460,3
2461,0
2462,2
2463,2
2464,4
2465,5
2466,6
2467,3
2468,6
2469,3
2470,5
2471,2
2472,4
2473,4
2474,1
2475,2
2476,5
2477,4
2478,3
2479,1
2480,5
2481,4
2482,5
2483,6
2484,5
2485,1
2486,6
2487,2
2488,2
2489,5
2490,4
2491,6
2492,3
2493,3
2494,2
2495,5
2496,1
2497,2
2498,5
2499,3
2500,1
2501,4
2502,6
2503,3
2504,2
2505,2
2506,5
2507,3
2508,4
2509,3
2510,4
2511,5
2512,1
2513,2
2514,2
2515,0
2516,6
2517,4
2518,1
2519,0
2520,6
2521,3
2522,2
2523,6
2524,5
2525,3
2526,2
2527,1
2528,6
2529,4
2530,1
2531,2
2532,2
2533,4
2534,4
2535,5
2536,1
2537,2
2538,6
2539,3
2540,1
2541,0
2542,1
2543,6
2544,2
2545,0
2546,3
2547,2
2548,5
2549,3
2550,1
2551,5
2552,4
2553,2
2554,3
2555,3
2556,0
2557,2
2558,4
2559,6
2560,1
2561,5
2562,3
2563,2
2564,4
2565,2
2566,6
2567,1
2568,2
2569,2
2570,6
2571,3
2572,4
2573,1
2574,5
2575,3
2576,5
2577,2
2578,1
2579,0
2580,2
2581,6
2582,5
2583,2
2584,2
2585,3
2586,4
2587,2
2588,2
2589,3
2590,3
2591,4
2592,5
2593,5
2594,3
2595,2
2596,2
2597,6
2598,1
2599,2
2600,4
2601,3
2602,2
2603,4
2604,2
2605,5
2606,5
2607,4
2608,1
2609,0
2610,5
2611,0
2612,2
2613,6
2614,2
2615,1
2616,0
2617,3
2618,2
2619,3
2620,2
2621,2
2622,2
2623,2
2624,4
2625,2
2626,4
2627,6
2628,3
2629,6
2630,1
2631,2
2632,2
2633,5
2634,6
2635,2
2636,3
2637,3
2638,6
2639,1
2640,2
2641,0
2642,1
2643,5
2644,3
2645,3
2646,5
2647,6
2648,5
2649,2
2650,2
2651,2
2652,5
2653,2
2654,4
2655,3
2656,3
2657,5
2658,4
2659,3
2660,5
2661,5
2662,0
2663,2
2664,4
2665,2
2666,4
2667,3
2668,5
2669,4
2670,5
2671,1
2672,6
2673,5
2674,2
2675,3
2676,0
2677,0
2678,6
2679,5
2680,0
2681,5
2682,2
2683,3
2684,0
2685,4
2686,1
2687,2
2688,6
2689,2
2690,5
2691,6
2692,5
2693,2
2694,4
2695,4
2696,6
2697,6
2698,1
2699,1
2700,4
2701,2
2702,5
2703,5
2704,3
2705,0
2706,3
2707,1
2708,4
2709,5
2710,0
2711,0
2712,1
2713,5
2714,3
2715,6
2716,1
2717,5
2718,4
2719,2
2720,0
2721,4
2722,4
2723,3
2724,6
2725,5
2726,4
2727,4
2728,2
2729,6
2730,1
2731,1
2732,5
2733,4
2734,1
2735,4
2736,5
2737,3
2738,2
2739,6
2740,3
2741,4
2742,0
2743,2
2744,5
2745,6
2746,6
2747,5
2748,1
2749,2
2750,4
2751,4
2752,1
2753,3
2754,4
2755,1
2756,3
2757,5
2758,4
2759,3
2760,4
2761,6
2762,1
2763,4
2764,3
2765,2
2766,2
2767,3
2768,6
2769,1
2770,1
2771,1
2772,4
2773,2
2774,6
2775,4
2776,4
2777,6
2778,3
2779,4
2780,4
2781,6
2782,6
2783,3
2784,5
2785,6
2786,1
2787,0
2788,6
2789,2
2790,0
2791,0
2792,3
2793,2
2794,4
2795,3
2796,4
2797,1
2798,6
2799,3
2800,3
2801,5
2802,4
2803,4
2804,4
2805,2
2806,0
2807,2
2808,0
2809,1
2810,2
2811,2
2812,5
2813,5
2814,2
2815,3
2816,6
2817,2
2818,6
2819,1
2820,6
2821,3
2822,6
2823,2
2824,4
2825,2
2826,3
2827,2
2828,4
2829,4
2830,6
2831,1
2832,1
2833,3
2834,4
2835,2
2836,6
2837,2
2838,2
2839,1
2840,2
2841,4
2842,1
2843,1
2844,2
2845,3
2846,1
2847,5
2848,4
2849,4
2850,5
2851,1
2852,3
2853,2
2854,6
2855,2
2856,4
2857,6
2858,4
2859,1
2860,6
2861,1
2862,2
2863,3
2864,3
2865,3
2866,6
2867,3
2868,1
2869,3
2870,4
2871,6
2872,5
2873,2
2874,0
2875,2
2876,3
2877,3
2878,4
2879,4
2880,6
2881,5
2882,4
2883,0
2884,3
2885,5
2886,3
2887,2
2888,2
2889,2
2890,4
2891,6
2892,2
2893,6
2894,5
2895,6
2896,5
2897,3
2898,6
2899,0
2900,5
2901,3
2902,4
2903,6
2904,5
2905,5
2906,2
2907,1
2908,3
2909,0
2910,1
2911,0
2912,0
2913,4
2914,2
2915,0
2916,5
2917,4
2918,1
2919,2
2920,6
2921,2
2922,2
2923,4
2924,5
2925,5
2926,4
2927,5
2928,3
2929,5
2930,1
2931,2
2932,6
2933,5
2934,2
2935,5
2936,4
2937,3
2938,6
2939,6
2940,5
2941,3
2942,2
2943,0
2944,5
2945,0
2946,4
2947,1
2948,3
2949,6
2950,3
2951,6
2952,6
2953,5
2954,6
2955,4
2956,1
2957,1
2958,2
2959,2
2960,0
2961,5
2962,2
2963,1
2964,0
2965,5
2966,0
2967,0
2968,1
2969,6
2970,6
2971,5
2972,5
2973,6
2974,5
2975,5
2976,5
2977,6
2978,4
2979,1
2980,3
2981,2
2982,2
2983,3
2984,2
2985,5
2986,0
2987,6
2988,1
2989,2
2990,1
2991,6
2992,1
2993,6
2994,3
2995,3
2996,6
2997,1
